cond,i,t_start_ms,t_end_ms,latency_ms,out_chars,out_bytes,parse_ok
B,71,1849100,1849156,56,22,66,
A,72,1849256,1849312,55,56,100,1
B,72,1849413,1849470,56,22,66,
A,73,1849572,1849628,55,56,100,1
B,73,1849729,1849785,55,22,66,
A,74,1849887,1849941,53,56,100,1
B,74,1850043,1850097,54,22,66,
A,75,1850199,1850257,58,56,100,1
B,75,1850360,1850415,55,22,66,
A,76,1850516,1850582,65,56,100,1
B,76,1850683,1850753,70,22,66,
A,77,1850855,1850923,67,56,100,1
B,77,1851024,1851079,55,22,66,
A,78,1851180,1851237,56,56,100,1
B,78,1851338,1851392,54,22,66,
A,79,1851493,1851554,60,56,100,1
B,79,1851654,1851708,54,22,66,
A,80,1851975,1852099,123,56,100,1
B,80,1852199,1852254,55,22,66,
A,81,1852356,1852433,76,56,100,1
B,81,1852535,1852602,66,22,66,
A,82,1852704,1852777,72,56,100,1
B,82,1852876,1852931,54,22,66,
A,83,1853033,1853095,61,56,100,1
B,83,1853195,1853251,55,22,66,
A,84,1853352,1853415,62,56,100,1
B,84,1853514,1853572,58,22,66,
A,85,1853674,1853730,55,56,100,1
B,85,1853831,1853887,56,22,66,
A,86,1853990,1854046,56,56,100,1
B,86,1854147,1854202,55,22,66,
A,87,1854305,1854362,56,56,100,1
B,87,1854462,1854519,57,22,66,
A,88,1854619,1854695,75,56,100,1
B,88,1854795,1854853,58,22,66,
A,89,1854969,1855024,55,56,100,1
B,89,1855129,1855188,58,22,66,
A,90,1855290,1855346,55,56,100,1
B,90,1855447,1855503,56,22,66,
A,91,1855604,1855658,53,56,100,1
B,91,1855759,1855817,57,22,66,
A,92,1855923,1855993,70,56,100,1
B,92,1856094,1856150,56,22,66,
A,93,1856252,1856317,64,56,100,1
B,93,1856418,1856474,56,22,66,
A,94,1856574,1856638,63,56,100,1
B,94,1856740,1856809,69,22,66,
A,95,1856912,1856968,55,56,100,1
B,95,1857069,1857125,55,22,66,
A,96,1857227,1857285,57,56,100,1
B,96,1857388,1857443,55,22,66,
A,97,1857543,1857599,56,56,100,1
B,97,1857701,1857755,54,22,66,
A,98,1857858,1857920,62,56,100,1
B,98,1858021,1858094,73,22,66,
A,99,1858198,1858254,56,56,100,1
B,99,1858357,1858412,55,22,66,
A,100,1858514,1858571,56,56,100,1
B,100,1858673,1858727,54,22,66,

