cond,i,t_start_ms,t_end_ms,latency_ms,out_chars,out_bytes,parse_ok
A,78,35152247,35155925,3678,326,462,1
B,78,35156026,35159368,3341,181,491,
A,79,35159468,35163161,3692,326,462,1
B,79,35163262,35166658,3395,191,529,
A,80,35166759,35170413,3653,326,462,1
B,80,35170514,35174212,3697,220,608,
A,81,35174313,35177972,3658,326,462,1
B,81,35178072,35182144,4072,226,626,
A,82,35182245,35185902,3657,326,462,1
B,82,35186003,35189398,3395,189,523,
A,83,35189498,35193152,3653,326,462,1
B,83,35193252,35196226,2973,164,444,
A,84,35196326,35199989,3663,326,462,1
B,84,35200090,35203140,3050,165,443,
A,85,35203241,35206889,3647,326,462,1
B,85,35206989,35210436,3446,193,535,
A,86,35210537,35214196,3659,326,462,1
B,86,35214296,35217520,3223,178,482,
A,87,35217620,35221330,3709,326,462,1
B,87,35221430,35224864,3434,195,533,
A,88,35224965,35228627,3661,326,462,1
B,88,35228727,35231431,2703,145,383,
A,89,35231532,35233984,2451,174,262,1
B,89,35234085,35237150,3065,165,451,
A,90,35237251,35240926,3675,326,462,1
B,90,35241026,35243730,2703,142,382,
A,91,35243830,35247503,3672,326,462,1
B,91,35247605,35251071,3466,192,518,
A,92,35251172,35254843,3670,326,462,1
B,92,35254944,35257888,2944,159,425,
A,93,35257991,35261678,3686,326,462,1
B,93,35261778,35264386,2608,145,391,
A,94,35264487,35268168,3681,326,462,1
B,94,35268269,35272030,3761,201,551,
A,95,35272131,35275801,3669,326,462,1
B,95,35275903,35278430,2527,137,367,
A,96,35278531,35282255,3723,326,462,1
B,96,35282356,35285276,2919,158,422,
A,97,35285377,35287825,2447,174,262,1
B,97,35287926,35291496,3570,200,556,
A,98,35291597,35294044,2446,174,262,1
B,98,35294145,35297426,3281,174,478,
A,99,35297527,35301189,3662,326,462,1
B,99,35301290,35304889,3598,199,545,
A,100,35304990,35307422,2431,174,262,1
B,100,35307524,35310692,3168,170,458,

A,1,38070291,38073997,3706,326,462,1
B,1,38074098,38078218,4120,232,590,
A,2,38078320,38080776,2456,174,262,1
B,2,38080878,38085327,4449,244,680,
A,3,38085430,38089130,3700,326,462,1
B,3,38089232,38092508,3275,180,496,
A,4,38092609,38096307,3698,326,462,1
B,4,38096410,38100338,3928,216,596,
A,5,38100439,38104152,3713,326,462,1
B,5,38104256,38108613,4357,251,701,
A,6,38108715,38112466,3751,326,462,1
B,6,38112567,38116724,4157,227,629,
A,7,38116826,38119329,2502,174,262,1
B,7,38119431,38123896,4464,258,722,
A,8,38123996,38126445,2449,174,262,1
B,8,38126546,38130631,4085,234,650,
A,9,38130731,38134438,3706,326,462,1
B,9,38134542,38139626,5083,294,838,
A,10,38139727,38142162,2435,174,262,1
B,10,38142263,38145654,3391,190,526,
A,11,38145755,38148201,2445,174,262,1
B,11,38148302,38152843,4540,263,737,
A,12,38152944,38155409,2465,174,262,1
B,12,38155510,38159570,4060,230,638,
A,13,38159671,38163376,3704,326,462,1
B,13,38163477,38166857,3380,188,512,
A,14,38166961,38170656,3694,326,462,1
B,14,38170758,38175229,4471,258,722,
A,15,38175331,38179034,3702,326,462,1
B,15,38179135,38184329,5193,313,895,
A,16,38184435,38186877,2441,174,262,1
B,16,38186980,38193405,6424,376,1078,
A,17,38193511,38197233,3722,326,462,1
B,17,38197334,38203123,5789,340,958,
A,18,38203224,38206933,3708,326,462,1
B,18,38207038,38211652,4613,271,757,
A,19,38211757,38214200,2442,174,262,1
B,19,38214303,38218421,4117,226,622,
A,20,38218522,38222267,3744,326,462,1
B,20,38222373,38226237,3864,218,602,
A,21,38226337,38230022,3684,326,462,1
B,21,38230123,38235155,5031,295,803,
A,22,38235256,38238964,3707,326,462,1
B,22,38239065,38242617,3551,193,527,
A,23,38242717,38246475,3757,326,462,1
B,23,38246576,38250675,4099,238,662,
A,24,38250776,38253357,2581,174,262,1
B,24,38253459,38257666,4207,226,626,
A,25,38257768,38261452,3684,326,462,1
B,25,38261552,38265429,3877,216,596,
A,26,38265531,38267970,2438,174,262,1
B,26,38268072,38272486,4413,255,689,
A,27,38272591,38276291,3699,326,462,1
B,27,38276393,38280511,4118,234,650,
A,28,38280613,38284274,3661,326,462,1
B,28,38284377,38288032,3654,205,563,
A,29,38288137,38291841,3703,326,462,1
B,29,38291942,38296313,4370,252,680,
A,30,38296418,38298883,2465,174,262,1
B,30,38298987,38303462,4474,253,707,
A,31,38303567,38305992,2425,174,262,1
B,31,38306097,38310959,4862,284,758,
A,32,38311061,38314773,3711,326,462,1
B,32,38314873,38318419,3545,203,557,
A,33,38318522,38320974,2451,174,262,1
B,33,38321078,38327316,6237,372,1006,
A,34,38327416,38331122,3705,326,462,1
B,34,38331224,38335816,4592,263,737,
A,35,38335919,38339625,3705,326,462,1
B,35,38339729,38345000,5271,301,773,
A,36,38345101,38348809,3707,326,462,1
B,36,38348911,38353244,4332,245,683,
A,37,38353348,38357034,3686,326,462,1
B,37,38357136,38361234,4097,230,638,
A,38,38361337,38365034,3696,326,462,1
B,38,38365137,38369654,4516,262,704,
A,39,38369756,38373468,3712,326,462,1
B,39,38373569,38378641,5071,290,816,
A,40,38378746,38381246,2499,174,262,1
B,40,38381347,38384993,3646,211,581,
A,41,38385094,38387573,2478,174,262,1
B,41,38387677,38393203,5525,309,883,
A,42,38393307,38395756,2448,174,262,1
B,42,38395858,38399515,3657,202,554,
A,43,38399618,38402063,2445,174,262,1
B,43,38402169,38407606,5437,307,877,
A,44,38407708,38410164,2456,174,262,1
B,44,38410267,38414935,4667,258,722,
A,45,38415041,38417496,2454,174,262,1
B,45,38417602,38421077,3475,191,521,
A,46,38421183,38424907,3724,326,462,1
B,46,38425014,38429985,4971,278,728,
A,47,38430092,38433775,3682,326,462,1
B,47,38433875,38438652,4776,282,794,
A,48,38438761,38442507,3745,326,462,1
B,48,38442612,38447018,4405,247,689,
A,49,38447118,38450828,3710,326,462,1
B,49,38450933,38456093,5160,305,827,
A,50,38456197,38458667,2470,174,262,1
B,50,38458768,38463027,4259,239,673,
A,51,38463128,38465575,2446,174,262,1
B,51,38465680,38470337,4657,275,773,
A,52,38470440,38472942,2501,174,262,1
B,52,38473045,38477136,4091,232,644,
A,53,38477237,38480992,3754,326,462,1
B,53,38481094,38484505,3411,184,500,
A,54,38484607,38487063,2456,174,262,1
B,54,38487166,38491333,4167,232,644,
A,55,38491435,38495157,3722,326,462,1
B,55,38495259,38500490,5231,306,866,
A,56,38500592,38504305,3713,326,462,1
B,56,38504410,38508581,4171,231,641,
A,57,38508685,38512418,3732,326,462,1
B,57,38512521,38517982,5460,294,830,
A,58,38518086,38521814,3727,326,462,1
B,58,38521915,38527215,5299,299,845,
A,59,38527318,38531048,3730,326,462,1
